Lat,Lon,MAT,SpringT,SOS,ST
39.8268,116.0219,5.578193924,12.65740741,130.7438462,-0.848409177
39.8717,116.0219,5.517068942,12.82716049,144.09,-2.307162553
39.9077,116.0219,4.41938549,11.4808642,116.074375,-4.996693476
39.9166,116.0219,3.683159939,11.12654321,113.0170588,-1.697322709
39.9256,116.0219,4.725780275,11.87592593,115.4682353,-1.722858983
39.9436,116.0219,3.158121792,10.44444444,114.9366667,-4.592930016
39.9526,116.0219,4.296545984,11.7037037,111.9022222,-3.253331304
39.9795,116.0219,5.691739492,13.01728395,121.58,-2.719215765
40.0424,116.0219,3.02175059,9.918518519,116.3970588,-5.668883065
40.0783,116.0219,1.242308226,8.37654321,118.0111111,-3.641640766
40.0873,116.0219,1.790227493,9.271604938,115.2894118,-3.561014871
40.0963,116.0219,3.069926481,10.57901235,118.9261111,-3.909800261
39.6292,116.0309,6.830933555,13.9154321,124.1683333,-1.681843026
39.6741,116.0309,6.917353308,14.05185185,149.9388889,-0.717256566
39.6831,116.0309,6.869746151,14.06111111,155.445,1.201255458
39.6921,116.0309,6.710362047,14.03271605,163.039375,3.342455833
39.71,116.0309,6.759162158,14.06111111,137.8327778,-1.606742503
39.719,116.0309,6.832688306,14.09938272,138.9722222,-4.043803451
39.737,116.0309,6.793799417,14.0308642,145.0133333,-4.910750975
39.746,116.0309,6.698612845,13.84938272,145.6633333,-11.06808437
39.7549,116.0309,6.698612845,13.84938272,149.735,-2.147985889
39.7639,116.0309,6.62394923,13.80493827,151.5738889,-1.75193379
39.7729,116.0309,6.446726314,13.71419753,141.1144444,-1.545543604
39.7819,116.0309,6.549833541,13.81358025,143.1772222,-4.709481921
39.7909,116.0309,6.473262588,13.71851852,125.675,-3.969027362
39.7999,116.0309,6.404043557,13.70246914,128.5383333,-4.134769409
39.8088,116.0309,6.498585102,13.62777778,147.3083333,-8.06997434
39.8178,116.0309,6.392828409,13.50493827,140.2866667,-8.268116096
39.8268,116.0309,5.903662089,13.0537037,124.3727778,-3.815001606
39.8538,116.0309,5.147059232,12.52283951,121.9755556,-2.944495736
39.8807,116.0309,5.66410043,12.70493827,133.565,-5.221877716
39.9077,116.0309,4.590525732,11.76234568,115.7816667,-3.128744619
39.9166,116.0309,4.409529754,12.00802469,117.0535294,-2.865775801
39.9256,116.0309,5.418851436,12.73148148,117,-3.123156218
39.9526,116.0309,4.075447357,11.57592593,111.9927778,-3.767869202
40.0424,116.0309,3.739402136,10.78209877,117.6929412,-3.900182693
40.0963,116.0309,2.268969344,9.67962963,115.4352941,-4.918863219
39.6292,116.0399,6.81858094,13.95061728,136.1627778,-4.865649623
39.6471,116.0399,6.830309336,13.93765432,114.5388889,-1.392201992
39.6741,116.0399,6.857469829,14.00308642,135.495,-4.319159017
39.6921,116.0399,6.845089471,14.07098765,161.8411111,0.739285495
39.71,116.0399,6.661624358,13.99814815,142.055,-4.74861117
39.719,116.0399,6.848113469,14.05987654,148.0705556,-7.968332934
39.728,116.0399,6.875988348,14.00864198,140.9355556,-3.588379887
39.737,116.0399,6.851851852,14.01851852,139.6966667,1.319666222
39.746,116.0399,6.620224719,13.77777778,142.4483333,-8.361762518
39.7549,116.0399,6.620224719,13.77777778,151.3844444,-4.997608836
39.7639,116.0399,6.555396033,13.77962963,150.2738889,-4.091813139
39.7729,116.0399,6.320751838,13.59876543,135.9861111,-4.050136977
39.7819,116.0399,6.221299764,13.53518519,134.0133333,-1.314978136
39.7909,116.0399,6.240456374,13.49567901,143.21,-4.639935136
